ModelName,DatasetName,Seed,CI,IBS,MAEH,MAEM,MAEPO,DCalib
deephit,seer_se,5,0.7400717765727416,0.1798799641999044,20.615224333808204,30.651175571717488,40.22981049701166,1.2361757623690719e-11
mtlr,seer_se,5,0.6983888702567146,0.1732261883296469,21.98942586181217,32.65766399842134,39.782889921685616,5.190703085320425e-17
dsm,seer_se,5,0.7591219047557849,0.151999013284755,20.43752902589777,43.50846693673677,46.338735743972855,0.699302723218573
mensa,seer_se,5,0.756902520335913,0.1526093818874332,17.18780521718536,26.979715853912005,35.2669338578052,0.7165368418675861
coxph,mimic_se,5,0.7419364612334075,0.1319993724150659,269.00522932078457,593.5177332701288,813.0293691653035,0.9832167933151512
coxboost,mimic_se,5,0.730344009338581,0.1489698470605555,300.124670795466,632.7626871766757,872.8192973658437,0.9915402487971438
rsf,mimic_se,5,0.7150447608466521,0.1576610029754929,326.09852842359544,674.6251056799294,914.6817158690972,0.9536983695585992
deepsurv,mimic_se,5,0.7444677411012705,0.128566474417113,262.43054571384386,656.4375301790234,857.195459310914,0.7973164052984043
deephit,mimic_se,5,0.7363520985506732,0.1445564720949479,286.5109125856244,665.9156459238835,905.9355772926816,0.0034158660760254
mtlr,mimic_se,5,0.7177333736901751,0.1358952515911285,289.3139248620686,742.4387576829387,937.874731644254,1.4793449928941898e-23
dsm,mimic_se,5,0.7512435283427753,0.1273910492886419,258.18102588449153,655.8847631029989,859.1799467100838,0.0049264698154049
mensa,mimic_se,5,0.750175439026025,0.1282286412908448,257.5677753690154,608.8595086647997,827.3428604895572,0.8886382796893506
coxph,seer_se,6,0.6950413623858018,0.1674341351310043,20.36265788016633,30.24548874130745,38.14914229201755,0.006178064271089
coxboost,seer_se,6,0.7527926274373895,0.153945043970239,17.67890427325986,27.232708911137863,35.317203531240864,0.0003711391634759
rsf,seer_se,6,0.7386457244072644,0.1693445846703203,19.86454423736876,28.10134401852073,36.83079312194094,0.0002284086562279
deepsurv,seer_se,6,0.7424945791213666,0.1533207355526803,18.181583120961715,29.22992746298648,36.26874969665749,0.0035696902250293
deephit,seer_se,6,0.7470804938565113,0.1713221395881841,20.232918224672925,28.89024534442128,37.64845569847533,1.1554375471504868e-11
mtlr,seer_se,6,0.6911467758610712,0.1715762755685068,21.958515942923203,33.93673591724811,40.204391889114085,1.9258110029252428e-17
dsm,seer_se,6,0.747729852292462,0.1525718356962899,21.64308316548984,48.70396427827859,50.55903849212959,0.0044625488294812
mensa,seer_se,6,0.7500449676154964,0.1504196003504197,17.144874735495517,28.02066336711433,35.48593670940055,0.6310770821246297
coxph,mimic_se,6,0.7522979231454172,0.1187817616946459,246.73319959683687,593.1984952356485,813.1509898075258,0.4839661429465486
coxboost,mimic_se,6,0.7279143764442495,0.1349714707336342,279.81543735207475,633.451486058741,875.1118027400511,0.1241120863523719
rsf,mimic_se,6,0.7161700142816613,0.1424091004527549,303.5284340534403,672.5278191569142,914.1881358382242,0.5288777544931343
deepsurv,mimic_se,6,0.7587217464082208,0.1151855357824989,239.76889881877705,656.7327163042489,856.1781777112973,0.6191615589195345
deephit,mimic_se,6,0.7499993315132668,0.1320455169145492,266.96502778034306,672.0642900156363,913.7073129182264,1.684067569182753e-13
mtlr,mimic_se,6,0.7167441219961549,0.1254607716822149,270.3552956448468,761.7804313432606,955.1968577711764,1.2712228779696986e-17
dsm,mimic_se,6,0.7613856660400717,0.1164541256421167,237.82221263890943,641.8769650805241,851.0101217791934,0.6464874247836783
mensa,mimic_se,6,0.7645041566505071,0.1145622353691376,234.67430115181904,607.0600687571113,826.4014132018101,0.3906862736542004
coxph,seer_se,7,0.6928885042330699,0.1687200854707447,20.67576315446948,30.10036084985673,38.14551052188402,0.0927254656384432
coxboost,seer_se,7,0.7491776088850994,0.1526051571436708,17.66940924900802,26.87143894250429,35.116279481745046,0.0012924855865038
rsf,seer_se,7,0.7384333867320215,0.1698652709203879,20.03542208841732,28.10974352657344,37.05612412828802,0.0010840479894417
deepsurv,seer_se,7,0.7246389697345652,0.1600502300140083,19.240224482843136,28.90241574648158,36.73612256963151,0.0021011279225563
deephit,seer_se,7,0.7406196887474297,0.1717999155552209,20.38659973809964,28.983062691915453,37.98182678806956,1.488845477820682e-12
mtlr,seer_se,7,0.6820975551342386,0.1697629593559848,20.6769084675254,31.51271753237935,39.17947890556306,0.0635095651899116
dsm,seer_se,7,0.7404372399140486,0.1554923244123953,20.179889059672423,39.438625407100496,43.25967086951202,0.0050122098594515
mensa,seer_se,7,0.750151226955556,0.1505394733541839,17.279875021575453,27.37885333772674,35.065031312186754,0.9954399346209868
coxph,mimic_se,7,0.7436973519714571,0.1311959352285867,266.8293027680263,591.9980270084704,809.0420816432147,0.953402220200188
coxboost,mimic_se,7,0.7301401335413253,0.1460237267671111,290.62880545359207,630.2352088509317,869.3936914011692,0.4680687004047601
rsf,mimic_se,7,0.7184120085698127,0.1535344552159383,315.3168486779078,668.752750653876,907.9112332041132,0.9067431983542203
deepsurv,mimic_se,7,0.7484095768633663,0.1281633901573482,260.1037758083299,647.2814935440471,845.729780135016,0.9886640347850248
deephit,mimic_se,7,0.7425643270342017,0.1444556876679288,281.5602058272963,701.9662862948057,941.1247688450431,1.6927567988913823e-11
mtlr,mimic_se,7,0.7190479189562818,0.1356523108485265,289.38788148681044,747.2395108205715,929.812717235125,4.799911974781071e-27
dsm,mimic_se,7,0.7466124191877364,0.1293213786385811,255.29465769969983,629.6077657021824,843.4458635388861,0.3908219711392546
mensa,mimic_se,7,0.7562012489096446,0.1271577946048832,251.21494518669508,604.3418935302841,821.814540544502,0.1620504065810763
coxph,seer_se,8,0.7095757874874221,0.1607790651350109,19.299643451045853,29.07602852031125,36.389723038957214,0.0001994779072713
coxboost,seer_se,8,0.7670695495328165,0.1454886348166127,16.479394308197474,25.94086980931977,33.35535041372208,1.692639788697913e-08
rsf,seer_se,8,0.7483640196495043,0.1638278824747361,18.99847394912236,27.52782496787331,35.74246319655726,1.88224098818227e-09
deepsurv,seer_se,8,0.7627015387037277,0.1447965485796284,16.910339630350016,27.46843307394196,33.98301067893585,2.499483647499257e-07
deephit,seer_se,8,0.7584098997810969,0.1644761631216218,19.25203765969864,27.91895675553628,36.11287545033064,6.909399636159656e-16
mtlr,seer_se,8,0.7113715268544539,0.1583769288925764,18.92399252407996,30.052621891444904,37.10153149961702,0.6643836790295528
dsm,seer_se,8,0.7734060386622447,0.143064610484711,20.719642352248258,50.31152604849965,50.19336714503628,0.000135205906053
mensa,seer_se,8,0.7677717834114421,0.1426571510771952,16.094822347544675,25.98834197794829,33.05765664951508,0.7094725972157769
coxph,mimic_se,8,0.7409496215969562,0.1299672134416904,270.1819019941139,592.8226240206852,813.8743536260916,0.8925832143099622
coxboost,mimic_se,8,0.7284713320547047,0.1457555837154188,296.2459914773628,626.973460547097,869.9171027620571,0.6561184307079333
rsf,mimic_se,8,0.7074563573348783,0.1539003219201614,321.2581763850455,668.6779342974452,911.6215765124052,0.6794117370965924
deepsurv,mimic_se,8,0.750253071122722,0.1258686485989244,261.09506598186675,647.8771628893687,849.1683910700799,0.9854053005299304
deephit,mimic_se,8,0.7374098458083111,0.1422798747479096,284.9297757875819,667.7538514530734,910.6888394417964,7.844481550488815e-08
mtlr,mimic_se,8,0.7250302903364397,0.132923123717129,294.62311522437494,995.227231488078,1178.0085728306483,1.4493314241858142e-28
dsm,mimic_se,8,0.7524530495951935,0.1267034329543186,257.1815609608316,654.2254194903607,859.0284324930834,0.8827289305706691
mensa,mimic_se,8,0.7520445785434328,0.1252425923264411,257.18818730692385,600.5518270257137,820.905914512528,0.881329519392772
coxph,seer_se,9,0.6844722862172163,0.1726297323900407,20.16715310860978,30.282272002913743,38.78727895287564,0.3084149530285022
coxboost,seer_se,9,0.7499433659270363,0.1555587369826633,17.287311863087957,26.81472752580675,35.50064235432783,0.0005362816748369
rsf,seer_se,9,0.7381215045147453,0.1713083837926004,19.29067539347721,27.63650524206134,37.067729727917175,0.0005199468009835
deepsurv,seer_se,9,0.7463383275764174,0.1549404204136002,17.755592452298863,29.09833090025333,36.57468436111447,0.1198368749826144
deephit,seer_se,9,0.7359208379288587,0.1789014429193864,19.822665620122603,29.6751450233408,39.17773284298446,5.800877132661871e-12
mtlr,seer_se,9,0.6979133418238626,0.171356708395753,21.27411860730967,33.865111216785586,40.5894882645169,7.394309469897891e-06
dsm,seer_se,9,0.7522403515036981,0.1543027162703114,23.43367419853492,55.770829986436176,57.165872324138846,2.3420997890899483e-05
mensa,seer_se,9,0.7500718956107335,0.1543132680979623,16.95819419771082,27.86555554696816,36.065695536183775,0.0036324870775614
coxph,mimic_se,9,0.7406567439342452,0.1270445512041138,264.52398050487915,598.1644435745077,813.7116013564448,0.9998081285209848
coxboost,mimic_se,9,0.7286396319506894,0.1446732227993045,294.718769269275,631.515473091026,869.2459786162655,0.8066160447472396
rsf,mimic_se,9,0.7137092624097159,0.1532792334617312,320.2940775844275,671.0256780767185,908.7561836019578,0.9720090845223172
deepsurv,mimic_se,9,0.7454989227409567,0.12310494506834,255.1373015238917,637.705704925113,839.3627908843371,0.9866070877179388
deephit,mimic_se,9,0.7405774888829549,0.1403757472110802,283.4329220567902,657.4303948382693,895.1548398415346,0.0002561096079346
mtlr,mimic_se,9,0.7236056293033969,0.1296376728656519,266.85373422498134,773.5119836936816,958.2575767334982,2.1751389461928737e-25
dsm,mimic_se,9,0.7471440747094693,0.1241806998082468,251.87295408749924,630.094105635414,842.6776458680012,0.2346915132634822
mensa,mimic_se,9,0.7531040545664932,0.12281739994543264,246.93025793440225,609.3581347184333,828.8896451511192,0.16764450717009197
